user_id,cohort_year,seasons_active,avg_rank_score,peak_rank_score,peak_rank,avg_session_mins,avg_sessions_per_week,avg_esports_watch_hrs,is_esports_watcher,avg_agent_diversity,avg_cross_platform_hrs,is_cross_platform,account_age_days,pct_seasons_retained,has_purchased,first_spend_year,transaction_count,total_spend,avg_spend_per_txn,max_single_txn,recency_days
U00108,2023,3,5.0,5,Platinum,43.8,5.77,4.99,Yes,5.67,4.77,Yes,771,1.0,Yes,2022.0,6,38.65,6.44,10.48,335.0
U00109,2023,3,1.0,1,Iron,30.63,3.93,2.82,Yes,4.67,0.0,No,1091,1.0,Yes,2024.0,7,248.98,35.57,62.74,46.0
U00110,2024,2,5.5,6,Diamond,44.65,6.05,0.46,No,3.5,0.22,Yes,634,1.0,No,,0,0.0,0.0,0.0,
U00111,2022,1,5.0,5,Platinum,24.6,5.1,2.94,Yes,6.0,0.0,No,84,1.0,No,,0,0.0,0.0,0.0,
U00112,2021,4,6.0,6,Diamond,54.12,5.42,2.48,Yes,5.5,0.38,Yes,1106,1.0,Yes,2022.0,12,457.08,38.09,59.72,6.0
U00113,2024,2,3.5,4,Gold,52.15,4.75,4.49,Yes,4.0,0.0,No,393,0.5,Yes,2024.0,6,164.96,27.49,59.02,205.0
U00114,2024,2,8.0,8,Immortal,61.8,6.85,11.45,Yes,4.5,0.0,No,490,0.5,Yes,2022.0,16,580.68,36.29,63.68,65.0
U00115,2023,3,4.33,5,Platinum,44.43,3.93,6.89,Yes,5.0,0.0,No,965,0.6667,Yes,2022.0,4,19.11,4.78,9.87,656.0
U00116,2022,3,7.0,8,Immortal,53.97,6.17,4.25,Yes,5.33,0.0,No,987,0.6667,No,,0,0.0,0.0,0.0,
U00117,2024,2,5.0,5,Platinum,43.0,5.35,3.15,Yes,7.5,6.48,Yes,513,1.0,Yes,2022.0,3,17.36,5.79,6.28,838.0
U00118,2021,2,3.0,3,Silver,28.5,3.6,0.24,No,5.5,2.28,Yes,687,1.0,No,,0,0.0,0.0,0.0,
U00119,2024,1,6.0,6,Diamond,54.1,4.9,3.18,Yes,3.0,0.35,Yes,305,0.0,Yes,2024.0,4,18.73,4.68,8.62,90.0
U00120,2023,3,3.0,3,Silver,33.67,5.9,7.53,Yes,4.33,0.82,Yes,1033,1.0,Yes,2024.0,4,24.51,6.13,9.33,167.0
U00121,2023,1,8.0,8,Immortal,66.9,9.0,0.37,No,4.0,0.26,Yes,15,0.0,No,,0,0.0,0.0,0.0,
U00122,2022,3,1.0,1,Iron,31.57,4.33,1.65,Yes,3.67,5.09,Yes,886,1.0,Yes,2021.0,7,40.07,5.72,11.43,184.0
U00123,2021,4,3.0,3,Silver,39.95,6.12,5.99,Yes,6.0,8.08,Yes,1171,1.0,Yes,2023.0,1,11.31,11.31,11.31,1084.0
U00124,2021,2,6.5,7,Ascendant,58.0,5.7,11.19,Yes,3.0,0.0,No,395,0.5,No,,0,0.0,0.0,0.0,
U00125,2022,4,3.5,5,Platinum,36.8,6.02,4.56,Yes,5.75,0.02,Yes,1404,0.75,Yes,2021.0,2,8.25,4.12,5.37,1422.0
U00126,2022,4,5.5,6,Diamond,47.47,6.32,4.96,Yes,6.0,2.26,Yes,1448,0.5,No,,0,0.0,0.0,0.0,
U00127,2022,4,2.0,2,Bronze,37.62,6.38,6.17,Yes,6.0,5.11,Yes,1323,0.75,Yes,2024.0,4,42.22,10.56,11.92,208.0
U00128,2021,2,1.5,2,Bronze,28.25,2.4,8.64,Yes,3.5,0.0,No,664,0.5,No,,0,0.0,0.0,0.0,
U00129,2024,2,2.0,2,Bronze,30.2,4.1,3.28,Yes,5.5,0.5,Yes,657,1.0,Yes,2023.0,9,285.3,31.7,56.56,82.0
U00130,2021,5,7.2,8,Immortal,53.14,6.68,3.56,Yes,6.0,11.64,Yes,1707,1.0,Yes,2021.0,13,463.06,35.62,64.79,109.0
U00131,2022,4,6.75,8,Immortal,52.32,4.35,5.87,Yes,4.0,6.26,Yes,1434,1.0,Yes,2023.0,8,256.35,32.04,62.63,82.0
U00132,2021,4,4.25,5,Platinum,35.97,5.3,6.1,Yes,4.5,3.74,Yes,1359,0.75,No,,0,0.0,0.0,0.0,
U00133,2022,2,8.0,8,Immortal,63.05,5.1,8.35,Yes,1.5,0.0,No,705,1.0,Yes,2023.0,4,31.58,7.9,14.44,292.0
U00134,2022,3,6.67,7,Ascendant,51.53,5.33,2.99,Yes,6.0,5.57,Yes,960,1.0,Yes,2023.0,11,486.47,44.22,62.66,63.0
U00135,2022,2,6.0,6,Diamond,43.6,5.4,8.01,Yes,3.0,7.0,Yes,561,1.0,Yes,2024.0,7,193.07,27.58,43.6,34.0
U00136,2024,2,3.0,3,Silver,30.45,4.75,5.03,Yes,2.5,0.0,No,549,1.0,Yes,2022.0,9,278.19,30.91,58.74,638.0
U00137,2023,1,1.0,1,Iron,29.2,4.5,9.54,Yes,4.0,5.58,Yes,137,0.0,No,,0,0.0,0.0,0.0,
U00138,2023,2,6.0,6,Diamond,39.25,5.2,2.2,Yes,4.0,0.0,No,520,0.5,No,,0,0.0,0.0,0.0,
U00139,2023,3,6.33,7,Ascendant,55.23,7.9,10.69,Yes,2.67,0.0,No,764,0.6667,Yes,2023.0,6,38.65,6.44,13.81,296.0
U00140,2024,1,7.0,7,Ascendant,61.5,6.0,11.81,Yes,6.0,0.0,No,284,1.0,No,,0,0.0,0.0,0.0,
U00141,2021,5,2.6,4,Gold,37.7,4.34,4.14,Yes,5.2,0.6,Yes,1480,0.8,Yes,2024.0,7,274.02,39.15,69.39,204.0
U00142,2023,2,9.0,9,Radiant,70.9,7.0,9.1,Yes,3.0,11.35,Yes,694,1.0,No,,0,0.0,0.0,0.0,
U00143,2022,4,4.25,5,Platinum,42.15,5.15,3.64,Yes,6.5,3.3,Yes,1127,0.75,Yes,2024.0,6,225.88,37.65,65.93,50.0
U00144,2024,2,2.5,3,Silver,20.45,3.5,0.52,No,5.0,0.0,No,624,1.0,Yes,2021.0,3,19.72,6.57,10.42,863.0
U00145,2023,3,3.0,3,Silver,51.5,5.27,6.34,Yes,5.33,2.78,Yes,863,0.6667,Yes,2024.0,24,3672.29,153.01,284.56,19.0
U00146,2024,2,4.0,4,Gold,41.25,4.7,4.29,Yes,1.5,0.0,No,670,1.0,Yes,2024.0,4,139.46,34.86,68.22,148.0
U00147,2022,4,3.75,4,Gold,38.17,5.38,9.2,Yes,4.25,4.84,Yes,1451,0.25,No,,0,0.0,0.0,0.0,
U00148,2024,1,4.0,4,Gold,48.6,6.9,7.93,Yes,2.0,3.21,Yes,24,0.0,No,,0,0.0,0.0,0.0,
U00149,2023,3,3.0,3,Silver,35.93,4.63,6.27,Yes,2.67,0.31,Yes,994,1.0,Yes,2024.0,3,30.62,10.21,13.91,33.0
U00150,2023,3,6.0,6,Diamond,44.07,5.87,7.44,Yes,6.0,0.0,No,899,1.0,Yes,2024.0,7,190.62,27.23,67.75,65.0
U00151,2022,4,3.25,4,Gold,34.08,5.6,6.69,Yes,6.25,4.44,Yes,1418,1.0,Yes,2024.0,17,2915.3,171.49,270.32,6.0
U00152,2024,2,1.0,1,Iron,24.15,1.5,2.52,Yes,4.0,3.64,Yes,526,1.0,Yes,2023.0,6,246.47,41.08,58.29,427.0
U00153,2023,2,5.0,5,Platinum,54.25,6.45,3.92,Yes,4.5,0.0,No,660,1.0,Yes,2023.0,29,4595.37,158.46,254.86,30.0
U00154,2023,3,6.0,6,Diamond,57.83,6.43,4.45,Yes,5.0,1.22,Yes,826,0.3333,No,,0,0.0,0.0,0.0,
U00155,2021,4,5.0,5,Platinum,37.52,6.02,8.26,Yes,5.5,2.1,Yes,1160,0.75,Yes,2022.0,2,16.68,8.34,10.41,948.0
U00156,2024,2,7.0,7,Ascendant,57.05,6.75,0.78,No,1.5,0.0,No,693,1.0,No,,0,0.0,0.0,0.0,
U00157,2024,2,3.5,4,Gold,40.05,4.65,3.26,Yes,4.0,0.98,Yes,636,1.0,Yes,2023.0,4,41.43,10.36,13.2,49.0
U00158,2024,2,4.5,5,Platinum,49.15,5.15,3.14,Yes,3.5,0.0,No,450,0.5,Yes,2023.0,5,34.24,6.85,12.43,105.0
U00159,2023,3,4.33,5,Platinum,42.07,4.87,5.45,Yes,4.0,2.46,Yes,776,1.0,Yes,2021.0,7,154.55,22.08,47.13,1129.0
U00160,2023,3,2.0,2,Bronze,28.63,5.27,4.11,Yes,5.33,4.35,Yes,900,1.0,Yes,2022.0,14,515.51,36.82,53.22,20.0
U00161,2021,2,3.0,3,Silver,35.4,9.5,0.22,No,4.5,6.36,Yes,520,1.0,No,,0,0.0,0.0,0.0,
U00162,2021,5,4.6,6,Diamond,51.54,4.4,4.57,Yes,4.6,0.81,Yes,1722,0.8,Yes,2024.0,1,7.35,7.35,7.35,408.0
U00163,2023,3,8.33,9,Radiant,62.03,8.2,6.44,Yes,5.0,0.0,No,1061,1.0,Yes,2022.0,11,438.41,39.86,67.39,3.0
U00164,2021,4,5.25,6,Diamond,53.05,6.98,6.44,Yes,6.0,0.0,No,1173,0.75,No,,0,0.0,0.0,0.0,
U00165,2024,2,4.5,5,Platinum,48.55,4.8,6.06,Yes,4.0,0.0,No,723,1.0,Yes,2021.0,4,15.52,3.88,5.21,1103.0
U00166,2024,2,4.0,4,Gold,43.25,4.7,3.25,Yes,6.0,5.86,Yes,463,0.5,Yes,2021.0,2,7.6,3.8,4.54,1449.0
U00167,2023,2,8.0,8,Immortal,66.5,7.2,7.51,Yes,5.5,13.98,Yes,493,0.5,Yes,2021.0,10,324.75,32.48,50.31,804.0
U00168,2021,1,4.0,4,Gold,42.1,1.2,1.05,Yes,7.0,2.56,Yes,314,0.0,No,,0,0.0,0.0,0.0,
U00169,2021,4,5.0,5,Platinum,43.32,7.1,8.2,Yes,5.5,2.71,Yes,1432,0.75,Yes,2022.0,6,45.49,7.58,11.58,182.0
U00170,2022,1,5.0,5,Platinum,45.8,5.1,2.38,Yes,5.0,4.51,Yes,162,1.0,No,,0,0.0,0.0,0.0,
U00171,2021,1,1.0,1,Iron,31.6,3.2,1.84,Yes,6.0,0.0,No,6,1.0,Yes,2023.0,4,30.43,7.61,9.93,269.0
U00172,2023,3,3.33,4,Gold,42.2,3.43,7.75,Yes,6.0,5.24,Yes,933,1.0,Yes,2022.0,5,37.67,7.53,11.3,304.0
U00173,2023,1,4.0,4,Gold,39.4,7.1,12.32,Yes,2.0,12.55,Yes,353,1.0,Yes,2022.0,6,38.96,6.49,10.29,115.0
U00174,2023,3,4.0,4,Gold,40.0,3.77,3.43,Yes,7.0,0.0,No,883,0.6667,Yes,2021.0,3,10.98,3.66,6.1,1261.0
U00175,2022,2,5.0,5,Platinum,52.7,3.65,6.68,Yes,3.0,0.0,No,614,1.0,No,,0,0.0,0.0,0.0,
U00176,2022,2,3.0,3,Silver,35.95,6.25,5.86,Yes,3.5,4.24,Yes,412,0.5,Yes,2022.0,3,18.45,6.15,9.87,501.0
U00177,2024,1,4.0,4,Gold,46.0,6.5,5.49,Yes,3.0,0.0,No,283,1.0,No,,0,0.0,0.0,0.0,
U00178,2023,3,4.33,5,Platinum,46.1,5.07,3.21,Yes,4.33,2.3,Yes,946,0.6667,Yes,2022.0,3,13.9,4.63,6.65,944.0
