user_id,rank,account_age_days,avg_session_mins,sessions_per_week,esports_watch_hrs,is_esports_watcher,primary_agent,primary_role,agent_diversity,cross_platform_hrs,is_cross_platform,primary_other_platform,retained_30d
U00022,Bronze,451,24.8,10.9,0.51,0,Cypher,Sentinel,5,0,0,None,1
U00023,Silver,501,51.8,9.2,8.02,1,Fade,Initiator,3,4.41,1,League of Legends,1
U00024,Silver,922,16.7,11.1,7.07,1,Jett,Duelist,7,0,0,None,1
U00025,Silver,576,51,6.5,0.58,0,Sage,Sentinel,2,3.72,1,Wild Rift,1
U00026,Platinum,660,63,4.3,13.49,1,Astra,Controller,7,1.99,1,TFT,1
U00027,Bronze,1067,35.5,7.9,0.22,0,Gekko,Initiator,8,0,0,None,1
U00028,Gold,807,43.1,12.4,6.22,1,Chamber,Sentinel,5,0,0,None,1
U00029,Gold,393,55.6,5,8.84,1,Sage,Sentinel,6,2.28,1,Legends of Runeterra,1
U00030,Iron,148,25.8,4.3,0.39,0,Reyna,Duelist,3,0.5,1,League of Legends,1
U00031,Gold,575,51.9,10,0.4,0,Brimstone,Controller,6,0,0,None,1
U00032,Bronze,551,27,5.9,7.64,1,Skye,Initiator,3,0,0,None,1
U00033,Iron,663,20.4,12,0.64,0,Clove,Controller,4,3.96,1,Legends of Runeterra,1
U00034,Ascendant,992,56.6,11.4,12.7,1,Iso,Duelist,6,0,0,None,1
U00035,Ascendant,987,52.7,7.2,2.31,0,Jett,Duelist,5,0,0,None,1
U00036,Platinum,912,26.3,6.9,8.96,1,Raze,Duelist,2,6.19,1,Wild Rift,1
U00037,Silver,809,58,6.2,0.36,0,Neon,Duelist,7,0,0,None,1
U00038,Iron,900,30,6.9,9.07,1,Phoenix,Duelist,2,0,0,None,1
U00039,Platinum,545,53.1,9.5,0.24,0,Sova,Initiator,7,0,0,None,1
U00040,Silver,967,60.3,8.5,8.87,1,Viper,Controller,3,0,0,None,1
U00041,Bronze,895,41,4,10.22,1,Jett,Duelist,6,0.5,1,League of Legends,1
U00042,Gold,135,59.3,10.9,0.07,0,KAY/O,Initiator,4,0,0,None,1
U00043,Iron,243,24.6,6.1,0.79,0,Gekko,Initiator,1,8.42,1,TFT,0
U00044,Diamond,879,67.1,6.2,6.62,1,Brimstone,Controller,8,0,0,None,1
U00045,Silver,226,31.1,6.4,0.82,0,Iso,Duelist,4,0,0,None,1
U00046,Platinum,48,40.1,11.6,0.73,0,Yoru,Duelist,1,3.89,1,TFT,1
U00047,Silver,671,23.5,8.4,0.15,0,KAY/O,Initiator,3,0,0,None,1
U00048,Gold,1065,47.2,9,6.84,1,Viper,Controller,10,0,0,None,1
U00049,Gold,359,51.6,4.7,0.13,0,Jett,Duelist,3,0,0,None,1
U00050,Bronze,895,47.2,7.8,0.78,0,Phoenix,Duelist,3,1.78,1,Wild Rift,1
U00051,Ascendant,803,35.8,12.4,8.77,1,Clove,Controller,3,0,0,None,1
U00052,Platinum,421,51.5,3.2,0.18,0,KAY/O,Initiator,2,24.63,1,Wild Rift,1
U00053,Ascendant,666,57.9,8.2,0.41,0,Chamber,Sentinel,5,0,0,None,1
U00054,Diamond,336,57.4,10.9,5.93,1,Cypher,Sentinel,3,0,0,None,1
U00055,Gold,924,34.7,8.7,5.36,1,Sova,Initiator,2,0,0,None,1
U00056,Ascendant,681,22.9,6.3,1.98,0,Astra,Controller,4,11.35,1,Wild Rift,1
U00057,Iron,870,43.5,8.2,0.01,0,Phoenix,Duelist,4,0,0,None,1
U00058,Bronze,1055,36.3,3.9,0.33,0,Raze,Duelist,3,0,0,None,1
U00059,Iron,549,38.4,4.4,0.35,0,Cypher,Sentinel,4,1.37,1,League of Legends,1
U00060,Silver,665,39.9,5.5,7.21,1,Sova,Initiator,6,7.03,1,Wild Rift,1
U00061,Silver,769,43.8,12.4,9.92,1,Raze,Duelist,1,0,0,None,1
U00062,Silver,498,49.8,2.8,13.6,1,Chamber,Sentinel,5,3.1,1,Wild Rift,1
U00063,Diamond,241,27.7,4.2,5.38,1,Jett,Duelist,3,0,0,None,1
U00064,Silver,1061,54.7,8.6,0.05,0,Sova,Initiator,1,1.75,1,Legends of Runeterra,1
U00065,Silver,833,38.8,8.1,6.59,1,Jett,Duelist,2,3.64,1,Legends of Runeterra,1
U00066,Gold,506,63.5,6.8,7.49,1,Gekko,Initiator,2,1.18,1,League of Legends,1
U00067,Bronze,903,32.5,7.4,0.07,0,Breach,Initiator,5,9.93,1,TFT,1
U00068,Platinum,489,38.8,5.4,0.27,0,Astra,Controller,5,0.71,1,Wild Rift,1
U00069,Iron,282,33.2,7.3,0.36,0,Chamber,Sentinel,4,0,0,None,0
U00070,Immortal,781,62,10.4,7.8,1,Skye,Initiator,6,6.5,1,Legends of Runeterra,1
U00071,Platinum,1010,43.7,12.2,9.68,1,Phoenix,Duelist,9,0,0,None,1
U00072,Bronze,883,44.9,13.1,8.48,1,Cypher,Sentinel,6,0,0,None,1
U00073,Iron,265,30.4,6.2,1.65,1,Omen,Controller,2,0,0,None,1
U00074,Platinum,507,47.4,4.8,13.5,1,Omen,Controller,4,10.54,1,TFT,1
U00075,Platinum,708,73.8,9.8,8.73,1,Raze,Duelist,3,0,0,None,1
U00076,Platinum,1073,51.3,8.2,0.02,0,Jett,Duelist,2,0,0,None,1
U00077,Platinum,245,52.2,8.1,0.07,0,KAY/O,Initiator,2,0,0,None,1
U00078,Iron,884,17.3,2.2,8.04,1,Skye,Initiator,5,2.96,1,League of Legends,0
U00079,Silver,164,57.3,8.1,5.97,1,Reyna,Duelist,6,0,0,None,1
U00080,Bronze,934,50.8,8.7,8.98,1,Jett,Duelist,5,0,0,None,1
U00081,Diamond,439,41.4,12,0.66,0,Neon,Duelist,7,0,0,None,1
U00082,Gold,115,56.6,6.7,3.79,1,Jett,Duelist,4,22.28,1,TFT,1
U00083,Silver,585,45,5.3,3.28,1,Jett,Duelist,2,0,0,None,1
U00084,Iron,407,35.6,5.5,0.52,0,Fade,Initiator,3,0,0,None,0
U00085,Silver,271,56.5,10.6,2.29,1,Killjoy,Sentinel,5,0,0,None,1
U00086,Silver,949,34.9,12,0.04,0,Viper,Controller,4,0,0,None,1
U00087,Platinum,295,38.3,12,0.09,0,Viper,Controller,3,17.97,1,Legends of Runeterra,1
U00088,Gold,741,46.5,10.1,11.16,1,Yoru,Duelist,3,12.44,1,Wild Rift,1
U00089,Diamond,99,56.3,8.9,0.3,0,Jett,Duelist,4,15.47,1,Legends of Runeterra,1
U00090,Gold,86,55.6,8.6,0.7,0,Fade,Initiator,4,0,0,None,1
U00091,Bronze,68,36.2,8.2,0,1,Sova,Initiator,1,0,0,None,1
U00092,Platinum,830,36.8,7.8,12.56,1,Chamber,Sentinel,4,3.21,1,Wild Rift,1
U00093,Platinum,1071,77.3,11.3,0.61,0,Jett,Duelist,1,0,0,None,1
U00094,Gold,761,31,3.2,8.23,1,Clove,Controller,5,0,0,None,1
U00095,Platinum,854,47.7,4.2,0.45,0,Breach,Initiator,4,0,0,None,0
U00096,Gold,785,53.4,3.2,13.45,1,Killjoy,Sentinel,6,10.53,1,Legends of Runeterra,1
U00097,Gold,381,57.8,5.8,8.93,1,Gekko,Initiator,5,0,0,None,1
U00098,Silver,312,34.2,11.8,0.9,0,Killjoy,Sentinel,1,0,0,None,1
U00099,Iron,139,12.5,3.4,0.51,0,KAY/O,Initiator,4,0,0,None,0
U00100,Bronze,1046,30.9,3.9,0.09,0,Breach,Initiator,2,2.08,1,League of Legends,1
U00101,Iron,573,45.3,4.5,0.19,0,Chamber,Sentinel,2,0,0,None,0
U00102,Gold,54,51.6,11.5,9.4,1,Sova,Initiator,7,0.5,1,Wild Rift,1
U00103,Silver,872,49,12.1,0.05,0,Killjoy,Sentinel,2,0,0,None,1
U00104,Gold,820,52.5,11.2,0.59,0,Jett,Duelist,3,0,0,None,1
U00105,Diamond,767,66.1,12.2,12.48,1,Jett,Duelist,4,0,0,None,1
U00106,Silver,86,31.7,12.8,0.45,0,Fade,Initiator,1,0,0,None,1
U00107,Silver,209,26.6,2.4,14.05,1,Omen,Controller,3,0,0,None,1
U00108,Platinum,261,51.4,4.9,0.39,0,Omen,Controller,4,0,0,None,1
U00109,Bronze,372,25.4,5.3,7.47,1,Jett,Duelist,5,0.68,1,Wild Rift,1
U00110,Iron,506,19.9,7.3,5.74,1,Viper,Controller,4,0,0,None,1
U00111,Silver,605,55.7,8.1,1.47,1,Reyna,Duelist,3,2.48,1,Wild Rift,1
U00112,Bronze,484,41,7.7,0.15,0,Chamber,Sentinel,1,0,0,None,1
U00113,Ascendant,318,53.3,11.9,0.06,0,Sova,Initiator,4,9.8,1,Wild Rift,1
U00114,Platinum,287,47.6,2.8,0.2,0,Yoru,Duelist,2,12.82,1,Wild Rift,1
U00115,Gold,559,42.7,7.8,0.15,0,Phoenix,Duelist,1,6.32,1,Legends of Runeterra,1
U00116,Diamond,716,64.6,9.8,0.01,0,Chamber,Sentinel,5,6.19,1,Legends of Runeterra,1
U00117,Platinum,958,28.8,7.6,13.29,1,KAY/O,Initiator,3,3.91,1,TFT,1
U00118,Bronze,258,19.3,8,0.01,0,Fade,Initiator,2,0,0,None,1
U00119,Diamond,625,38.8,12.1,6.89,1,Omen,Controller,5,0,0,None,1
U00120,Gold,464,47.5,8.4,0.79,0,Chamber,Sentinel,1,0,0,None,1
U00121,Platinum,911,68.7,15,0.19,0,Iso,Duelist,5,0,0,None,1
U00122,Diamond,1050,60.4,11.9,12.24,1,Raze,Duelist,4,0,0,None,1
U00123,Silver,431,48.1,8.6,0.18,0,Omen,Controller,1,0,0,None,1
U00124,Bronze,651,37,8.9,1.33,0,Gekko,Initiator,7,0,0,None,1
U00125,Bronze,117,22,9.6,7.44,1,Jett,Duelist,3,0,0,None,1
U00126,Silver,613,47.2,12.9,2.67,1,Skye,Initiator,5,0.83,1,Wild Rift,1
U00127,Platinum,338,71.3,12.1,0.12,0,Omen,Controller,2,0,0,None,1
U00128,Diamond,935,47.1,10.5,9.29,1,Viper,Controller,7,0,0,None,1
U00129,Iron,372,28.3,4.8,0.72,0,Deadlock,Sentinel,3,3.88,1,League of Legends,0
U00130,Gold,465,41.2,9.4,8.49,1,Fade,Initiator,5,0.5,1,Wild Rift,1
U00131,Silver,206,48.2,9.5,5.46,1,Gekko,Initiator,1,0,0,None,1
U00132,Bronze,168,39.3,9.7,1.26,0,Jett,Duelist,5,0,0,None,1
U00133,Bronze,223,48.9,5.2,4.78,1,Killjoy,Sentinel,8,11.22,1,Wild Rift,1
U00134,Silver,972,40.6,10,3.34,1,Reyna,Duelist,6,1.34,1,League of Legends,1
U00135,Ascendant,554,50.1,11.8,0.98,0,Chamber,Sentinel,4,0,0,None,1
U00136,Silver,944,43.7,4.2,7.62,1,Sova,Initiator,2,0,0,None,1
U00137,Gold,239,37.5,4.6,0.51,0,Sova,Initiator,4,0,0,None,0
U00138,Platinum,770,67.9,12,1.1,0,Sova,Initiator,7,17.09,1,TFT,1
U00139,Silver,891,50.9,5.2,13.27,1,Chamber,Sentinel,3,0,0,None,1
U00140,Immortal,983,42.8,14.4,12.29,1,Deadlock,Sentinel,7,0,0,None,1
U00141,Ascendant,862,44.1,8.6,12.87,1,Chamber,Sentinel,4,2.4,1,Wild Rift,1
U00142,Silver,169,47.8,9,8.44,1,Viper,Controller,4,0,0,None,1
U00143,Gold,821,46.2,9.2,1.44,1,Reyna,Duelist,2,0,0,None,1
U00144,Silver,575,44.6,5.7,11.31,1,Breach,Initiator,2,0,0,None,1
U00145,Silver,1046,38.7,12,0.06,0,Phoenix,Duelist,8,0,0,None,1
U00146,Iron,86,40.5,6.2,0.22,0,Viper,Controller,4,0,0,None,0
U00147,Gold,141,42,8.4,0,0,Gekko,Initiator,2,3.02,1,TFT,1
U00148,Gold,34,50.8,2.3,0.45,0,Brimstone,Controller,3,10.45,1,Wild Rift,1
U00149,Iron,1066,44.3,3,5.8,1,Jett,Duelist,4,0,0,None,1
U00150,Silver,119,60.3,11.2,9.27,1,Clove,Controller,3,6.8,1,Wild Rift,1
U00151,Diamond,645,43.8,9,0.67,0,Chamber,Sentinel,6,0,0,None,1
U00152,Bronze,920,37.9,5.6,0.24,0,Viper,Controller,2,0,0,None,1
U00153,Bronze,727,23.4,5.7,11.87,1,Cypher,Sentinel,1,1.55,1,Wild Rift,1
U00154,Gold,927,65.9,9.8,8.01,1,KAY/O,Initiator,1,27.05,1,Legends of Runeterra,1
U00155,Immortal,1000,32.3,13.6,5.66,1,Jett,Duelist,3,0,0,None,1
U00156,Silver,697,61.2,6.1,7.03,1,Deadlock,Sentinel,2,0,0,None,1
U00157,Platinum,623,48.1,11.9,2.04,0,Jett,Duelist,2,4.74,1,TFT,1
U00158,Platinum,618,52,8.1,10.33,1,Raze,Duelist,2,10.17,1,Legends of Runeterra,1
U00159,Bronze,514,36,8.9,7.26,1,Jett,Duelist,4,7.7,1,Wild Rift,1
U00160,Platinum,1011,47.4,3.3,15.01,1,Brimstone,Controller,2,0,0,None,1
U00161,Silver,1001,48.1,3,0.27,0,Omen,Controller,4,0,0,None,1
U00162,Gold,668,24.4,10.7,0.38,0,Raze,Duelist,6,0,0,None,1
U00163,Gold,1026,36.2,9,0.14,0,Chamber,Sentinel,4,0,0,None,1
U00164,Gold,311,33.9,9.4,11.23,1,Sage,Sentinel,9,0,0,None,1
U00165,Iron,1015,40.4,3.8,11.09,1,Phoenix,Duelist,1,0,0,None,1
U00166,Diamond,45,50.1,7.7,8.12,1,Viper,Controller,5,4.27,1,Legends of Runeterra,1
U00167,Silver,965,48.4,2.8,7.27,1,Cypher,Sentinel,5,0,0,None,1
U00168,Bronze,283,40,4.9,0,1,Sova,Initiator,7,0,0,None,0
U00169,Iron,358,47.7,6.9,0.75,0,Yoru,Duelist,7,1.43,1,League of Legends,1
U00170,Gold,573,35.1,9.2,14.31,1,Yoru,Duelist,3,0,0,None,1
U00171,Platinum,812,47.7,6.5,0.04,0,Killjoy,Sentinel,3,6.32,1,Wild Rift,1
U00172,Iron,1026,48.3,8.7,0.11,0,KAY/O,Initiator,4,0,0,None,1
U00173,Gold,874,54.9,8.1,2.13,0,Astra,Controller,5,0,0,None,1
U00174,Bronze,395,20.2,6.7,0.81,0,Brimstone,Controller,3,0,0,None,1
U00175,Gold,684,31.7,8.5,7.88,1,Iso,Duelist,5,15.71,1,League of Legends,1
U00176,Bronze,789,37,13.7,0.16,0,Raze,Duelist,9,10.12,1,Legends of Runeterra,1
U00177,Platinum,668,44.2,8.1,0.43,0,Reyna,Duelist,6,1.43,1,TFT,1
U00178,Silver,1093,40.2,10.7,11.93,1,Jett,Duelist,3,0,0,None,1
U00179,Ascendant,953,62.6,11,11.31,1,Reyna,Duelist,3,12.44,1,Legends of Runeterra,1
U00180,Bronze,445,41.5,6.7,0.63,0,Yoru,Duelist,5,0,0,None,1
U00181,Silver,284,45.2,3.1,0.25,0,Astra,Controller,3,0,0,None,1
U00182,Bronze,739,46,5.5,0.57,0,Raze,Duelist,1,0.96,1,Legends of Runeterra,1
U00183,Ascendant,606,65.9,9.6,11.18,1,Skye,Initiator,4,0,0,None,1
U00184,Diamond,929,13.3,8.7,9.81,1,Neon,Duelist,6,8.91,1,Wild Rift,1
U00185,Silver,40,36.4,11.7,1.46,0,Gekko,Initiator,2,3.12,1,League of Legends,1
U00186,Gold,55,33.4,6,4.88,1,Harbor,Controller,6,0,0,None,1
U00187,Platinum,986,52.7,8.2,0.66,0,Yoru,Duelist,7,9.98,1,Legends of Runeterra,1
U00188,Gold,450,38.5,9.8,0.65,0,Sova,Initiator,7,0,0,None,1
U00189,Gold,525,44.9,7.4,0.42,0,Astra,Controller,2,0,0,None,1
U00190,Silver,266,51.2,10.7,0.19,0,Skye,Initiator,2,2.52,1,League of Legends,1
U00191,Iron,1038,27.8,3.7,5.16,1,Reyna,Duelist,1,0,0,None,1
U00192,Diamond,248,54.4,4.4,0.05,0,Clove,Controller,1,0,0,None,0
U00193,Diamond,490,68.6,8.1,1.99,0,Phoenix,Duelist,3,36.05,1,Legends of Runeterra,1
U00194,Gold,692,54,8,0.1,0,Breach,Initiator,8,6.07,1,TFT,1
U00195,Silver,664,22,8.5,0.16,0,Neon,Duelist,3,0,0,None,1
U00196,Silver,1019,37.5,8.2,1.54,0,Skye,Initiator,1,0,0,None,1
U00197,Platinum,218,51.3,7.4,0.1,0,Viper,Controller,5,0,0,None,0
U00198,Diamond,284,56.6,4.5,0.09,0,Killjoy,Sentinel,4,0,0,None,0
U00199,Diamond,97,47,8.6,6.35,1,Sage,Sentinel,3,5.18,1,League of Legends,1
U00200,Platinum,645,39.3,5.5,5.97,1,Sova,Initiator,2,5.37,1,Wild Rift,1
U00201,Gold,365,44.8,8.4,5.2,1,Chamber,Sentinel,4,0,0,None,1
U00202,Iron,700,22,3.7,0.13,0,Brimstone,Controller,3,0,0,None,0
U00203,Bronze,850,51.2,8.5,1.1,0,Breach,Initiator,2,0,0,None,1
U00204,Diamond,903,72.4,14,6.78,1,Sage,Sentinel,8,0.62,1,TFT,1
U00205,Gold,329,48.7,6,0.59,0,Omen,Controller,6,0,0,None,0
U00206,Iron,386,32.2,3.2,0.25,0,Fade,Initiator,2,0.96,1,TFT,0
U00207,Bronze,285,49.3,10.8,6.27,1,Jett,Duelist,2,5.54,1,Wild Rift,1
U00208,Platinum,1037,56.3,13.9,6.86,1,Astra,Controller,1,0,0,None,1
U00209,Iron,382,31.7,3.3,1.79,0,Jett,Duelist,2,0,0,None,1
U00210,Bronze,553,37.4,7.1,0.37,0,Phoenix,Duelist,3,0,0,None,0
U00211,Gold,979,36.7,9.7,0.06,0,Chamber,Sentinel,7,0,0,None,1
U00212,Platinum,785,49,7.8,12.57,1,Raze,Duelist,8,5.59,1,Legends of Runeterra,1
U00213,Gold,313,47.6,2.9,0.26,0,Iso,Duelist,2,0,0,None,0
U00214,Bronze,128,28.6,3.3,0.39,0,Chamber,Sentinel,4,0,0,None,0
U00215,Platinum,226,34.1,4.8,0.1,0,Sova,Initiator,6,0,0,None,1
U00216,Bronze,511,22.1,4.3,0.16,0,Sova,Initiator,10,0,0,None,1
U00217,Silver,907,46,8.1,0.77,0,Brimstone,Controller,3,0,0,None,1
U00218,Platinum,644,46.9,11.9,0.27,0,Reyna,Duelist,6,0,0,None,1
U00219,Gold,647,43,4.1,0,0,Chamber,Sentinel,4,0,0,None,1
U00220,Diamond,397,55.6,6.6,6.64,1,Phoenix,Duelist,8,12.31,1,TFT,1
U00221,Gold,599,33.2,4.9,0.29,0,Clove,Controller,6,0,0,None,1
U00222,Gold,619,31.2,9.1,4.5,1,Phoenix,Duelist,3,0.5,1,TFT,1
U00223,Iron,451,37.9,4.5,0.1,0,Phoenix,Duelist,2,0,0,None,0
U00224,Silver,865,20.3,4.8,9.91,1,Jett,Duelist,6,0,0,None,1
U00225,Silver,574,37.9,3,9.55,1,Reyna,Duelist,4,0,0,None,1
U00226,Silver,100,70.6,11.9,0.33,0,Skye,Initiator,3,10.11,1,Legends of Runeterra,1
U00227,Immortal,797,39.8,16.4,0.46,0,Omen,Controller,5,0.5,1,League of Legends,1
U00228,Silver,336,35.8,8.1,0.78,0,Killjoy,Sentinel,2,0,0,None,0
U00229,Diamond,406,24.5,13.5,10.9,1,Jett,Duelist,3,0,0,None,1
U00230,Gold,684,41.2,6.5,0.1,0,Sova,Initiator,3,0,0,None,1
U00231,Platinum,707,70.6,8.6,0.06,0,Raze,Duelist,4,0,0,None,1
U00232,Gold,428,49.6,10.2,1.38,0,Sova,Initiator,2,1.63,1,Legends of Runeterra,1
U00233,Gold,250,36.6,5.9,0.43,0,Sova,Initiator,7,5.72,1,Legends of Runeterra,1
U00234,Gold,211,70.2,7.7,5.62,1,Sova,Initiator,5,7.33,1,Legends of Runeterra,1
U00235,Bronze,336,17.1,6.6,0.12,0,Iso,Duelist,2,12.78,1,League of Legends,0
U00236,Platinum,551,52.4,9.9,0.65,0,Clove,Controller,4,0,0,None,1
U00237,Silver,1043,41.8,8,4.85,1,Viper,Controller,2,0,0,None,1
U00238,Iron,33,32,4.8,7.27,1,Sova,Initiator,4,9.2,1,TFT,1
U00239,Gold,892,53.7,7.3,5.79,1,Reyna,Duelist,2,5.06,1,Legends of Runeterra,1
U00240,Bronze,877,23.8,10.7,9.31,1,Skye,Initiator,5,0,0,None,1
U00241,Ascendant,833,56.8,11,0.1,0,Sage,Sentinel,4,0,0,None,1
U00242,Ascendant,244,55.2,10.8,0,0,Reyna,Duelist,5,10.71,1,Legends of Runeterra,1
U00243,Diamond,1001,39.5,15.8,0.06,0,Harbor,Controller,3,0,0,None,1
U00244,Silver,130,64.4,4.4,13.78,1,Omen,Controller,1,1.19,1,Wild Rift,1
U00245,Iron,992,32.8,9.1,0.02,0,Omen,Controller,2,0.99,1,League of Legends,1
U00246,Ascendant,602,51.3,9.6,0.28,0,Chamber,Sentinel,4,1.88,1,TFT,1
U00247,Silver,687,28.7,8.8,0.35,0,Chamber,Sentinel,4,0,0,None,1
U00248,Ascendant,968,51,9.9,1.19,0,Neon,Duelist,6,0,0,None,1
U00249,Ascendant,255,81,7.3,0.32,0,Killjoy,Sentinel,3,0.5,1,Wild Rift,1
U00250,Diamond,134,47,5.9,11.07,1,Brimstone,Controller,2,9.66,1,Legends of Runeterra,1
U00251,Silver,801,47.2,7.8,0.17,0,Breach,Initiator,7,0,0,None,1
U00252,Silver,458,52.4,5.5,0.56,0,Viper,Controller,3,0,0,None,1
U00253,Diamond,463,47.8,7.9,14.18,1,Chamber,Sentinel,5,0,0,None,1
U00254,Silver,1081,36.1,10.2,2.37,1,Gekko,Initiator,3,0,0,None,1
U00255,Bronze,711,43.7,3.7,2.73,0,Chamber,Sentinel,3,0,0,None,1
U00256,Gold,617,41.1,7.6,9.22,1,Brimstone,Controller,2,9.2,1,Legends of Runeterra,1
U00257,Ascendant,895,49,12.6,12.77,1,KAY/O,Initiator,8,0,0,None,1
U00258,Platinum,775,58.3,7.1,0.93,0,Brimstone,Controller,2,5.97,1,TFT,1
U00259,Gold,893,43.2,12.6,4.66,1,Omen,Controller,2,0.5,1,Wild Rift,1
U00260,Iron,397,49.6,2.3,2.75,1,Fade,Initiator,1,1.35,1,League of Legends,0
U00261,Gold,280,42.9,13.7,0.06,0,Omen,Controller,4,7.08,1,Legends of Runeterra,1
U00262,Immortal,888,40.2,9.9,9.35,1,Viper,Controller,7,0,0,None,1
U00263,Bronze,885,10,3.4,2.49,0,Killjoy,Sentinel,6,0,0,None,1
U00264,Gold,590,21.9,10.7,12.83,1,Iso,Duelist,4,0,0,None,1
U00265,Diamond,323,30,10.3,0.07,0,Jett,Duelist,5,3.76,1,Legends of Runeterra,1
U00266,Platinum,948,50.2,12.7,13.84,1,Skye,Initiator,3,18.09,1,TFT,1
U00267,Platinum,462,35.3,4,0.39,0,KAY/O,Initiator,4,0,0,None,1
U00268,Platinum,88,23.3,5.3,8.56,1,Jett,Duelist,4,7.23,1,TFT,1
U00269,Silver,998,39.4,10.1,0.54,0,Brimstone,Controller,3,1.16,1,Wild Rift,1
U00270,Silver,865,28,15.4,0.43,0,Chamber,Sentinel,4,0,0,None,1
U00271,Platinum,228,52.6,10.3,6.85,1,Breach,Initiator,5,0,0,None,1
U00272,Platinum,244,52.3,10.8,13.18,1,Sage,Sentinel,4,30.63,1,League of Legends,1
U00273,Diamond,927,56.5,6.7,0.09,0,Killjoy,Sentinel,2,0,0,None,1
U00274,Diamond,501,19.3,8.5,0.98,0,Raze,Duelist,4,0,0,None,1
U00275,Gold,276,44.5,6.3,7.34,1,Clove,Controller,5,6.05,1,Wild Rift,1
U00276,Gold,411,42.5,9.7,4.41,1,Gekko,Initiator,6,0,0,None,1
U00277,Platinum,1020,32.3,11.4,6.89,1,Sage,Sentinel,10,3.54,1,League of Legends,1
U00278,Gold,956,18.4,8.8,0.24,0,Raze,Duelist,3,0,0,None,1
U00279,Platinum,589,45.7,11,8.91,1,Reyna,Duelist,8,14.4,1,League of Legends,1
U00280,Platinum,718,59.8,8.5,6.82,1,Neon,Duelist,3,0,0,None,1
U00281,Diamond,409,19,13,0.07,0,Jett,Duelist,5,0.73,1,TFT,1
U00282,Silver,503,31,5.2,0.26,0,Iso,Duelist,7,0,0,None,1
U00283,Silver,726,42.6,12,0,0,Phoenix,Duelist,3,8.9,1,League of Legends,1
U00284,Iron,940,48.5,4.9,7.24,1,Fade,Initiator,1,3.8,1,League of Legends,1
U00285,Gold,989,40.3,8.2,0.09,0,KAY/O,Initiator,5,3.85,1,TFT,1
U00286,Iron,507,58.2,3.4,0.74,0,Reyna,Duelist,4,0,0,None,0
U00287,Gold,1033,22.5,9.7,0.08,0,Brimstone,Controller,4,2.92,1,Wild Rift,1
U00288,Gold,955,19.8,8.6,0.27,0,Neon,Duelist,5,6.91,1,Legends of Runeterra,1
U00289,Silver,736,53.2,10,0.65,0,Reyna,Duelist,1,0.98,1,TFT,1
U00290,Gold,883,15.8,3,8.42,1,Viper,Controller,7,0,0,None,1
U00291,Iron,1046,40.5,7.4,0.19,0,Jett,Duelist,1,1.86,1,TFT,1
U00292,Iron,783,31.5,8.2,0.55,0,Sova,Initiator,3,0,0,None,1
U00293,Diamond,532,39.2,6,13.18,1,Reyna,Duelist,5,14.24,1,TFT,1
U00294,Silver,846,35.9,9.4,8.4,1,Cypher,Sentinel,4,0,0,None,1
U00295,Bronze,617,22.5,1,0.1,0,Killjoy,Sentinel,4,0,0,None,0
U00296,Gold,737,40.2,7.8,0.69,0,Jett,Duelist,4,0,0,None,1
